,link,max_salary,min_salary,site,title
97,https://spb.hh.ru/vacancy/36766659?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Слесарь по ремонту компрессорного оборудования
98,https://spb.hh.ru/vacancy/28390409?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,60000руб.,https://hh.ru,Специалист по обеспечению сбыта на территории/Торговый представитель
99,https://spb.hh.ru/vacancy/26906110?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,650бел.руб.,,https://hh.ru,Водитель-курьер (вечерний)
100,https://spb.hh.ru/vacancy/36428494?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Слесарь по ремонту компрессорного оборудования
101,https://spb.hh.ru/vacancy/35739219?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,2000бел.руб.,1300бел.руб.,https://hh.ru,"Водитель категории ""С"""
102,https://spb.hh.ru/vacancy/37410556?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,10000000сум,https://hh.ru,Главный Бухгалтер на производство г. Янгиюль.
103,https://spb.hh.ru/vacancy/36909988?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,40000руб.,https://hh.ru,Менеджер по продажам
104,https://spb.hh.ru/vacancy/37388574?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,5000USD,3500USD,https://hh.ru,Java разработчик
105,https://spb.hh.ru/vacancy/37381519?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Инженер-проектировщик ВК
106,https://spb.hh.ru/vacancy/37275264?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,37500руб.,33750руб.,https://hh.ru,Начинающий специалист офиса продаж
107,https://spb.hh.ru/vacancy/37282427?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,800бел.руб.,https://hh.ru,Продавец-консультант бытовой техники
108,https://spb.hh.ru/vacancy/37397172?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Специалист по подбору персонала
109,https://spb.hh.ru/vacancy/37412124?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,45000руб.,42000руб.,https://hh.ru,Упаковщица/Упаковщик
110,https://spb.hh.ru/vacancy/37386440?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,80000руб.,40000руб.,https://hh.ru,Менеджер группы магазинов / Управляющий
111,https://spb.hh.ru/vacancy/37402551?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,3000000сум,2500000сум,https://hh.ru,Офис-менеджер
112,https://spb.hh.ru/vacancy/37357034?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,90000руб.,https://hh.ru,Менеджер по продажам в интернет-магазин дизайнерских светильников через Instagram
